number,name,status
3150,Statement local namespaces (aka “given” clause),Deferred
3143,Standard daemon process libra,Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptati",Deferred
568,Generator-sensitivity for Context Variabl,Deferred
674,Disallow using macros as l-valu,Deferred
556,Threaded garbage collecti,Deferred
558,Defined semantics for locals(),Deferred
547,Running extension modules using the -m opti,Deferred
535,Rich comparison chaini,Deferred
534,Improved Errors for Missing Standard Library Modul,Deferred
533,Deterministic cleanup for itera,Deferred
532,A circuit breaking protocol and binary opera,Deferred
505,None-aware opera,Deferred
499,python -m foo should also bind 'foo' in sys.modul,Deferred
501,General purpose string interpolati,Deferred
491,The Wheel Binary Package Format 1.9,Deferred
447,Add __getdescriptor__ method to metacla,Deferred
444,Python Web3 Interfac,Deferred
423,Naming conventions and recipes related to packagi,Deferred
419,Protecting cleanup statements from interrupti,Deferred
407,New release cycle and introducing long-term support versi,Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWri,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
368,Standard image protocol and cla,Deferred
337,Logging Usage in the Standard Libra,Deferred
323,Copyable Itera,Deferred
316,Programming by Contract for P,Deferred
312,Simple Implicit Lambda,Deferred
286,Enhanced Argument Tupl,Deferred
280,Optimizing access to global,Deferred
269,Pgen Module for P,Deferred
267,Optimized Access to Module Namespac,Deferred
233,Python Online Hel,Deferred
222,Web Library Enhancem,Deferred
219,Stackless P,Deferred
213,Attribute Access Handl,Deferred
8001,Python Governance Voting Proc,Final
3100,Miscellaneous Python 3.0 Pla,Final
3099,Things that will Not Change in Python 3000,Final
3003,Python Language Moratorium,Final
3002,Procedure for Backwards-Incompatible Cha,Final
478,Python 3.5 Release Schedul,Final
3000,Python 3000,Final
541,Package Index Name Retenti,Final
545,Python Documentation Translati,Final
537,Python 3.7 Release Schedul,Final
494,Python 3.6 Release Schedul,Final
512,Migrating from hg.python.org to GitHub,Final
470,Removing External Hosting Support on PyPI,Final
464,Removal of the PyPI Mirror Authenticity API,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Schem,Final
429,Python 3.4 Release Schedul,Final
438,Transitioning to release-file hosting on PyPI,Superseded
404,Python 2.8 Un-release Schedul,Final
398,Python 3.3 Release Schedul,Final
392,Python 3.2 Release Schedul,Final
385,Migrating from Subversion to Mercurial,Final
375,Python 3.1 Release Schedul,Final
374,Choosing a distributed VCS for the Python projec,Final
361,Python 2.6 and 3.0 Release Schedul,Final
360,Externally Maintained Packa,Final
373,Python 2.7 Release Schedul,Final
356,Python 2.5 Release Schedul,Final
347,Migrating the Python CVS to Subversi,Final
320,Python 2.4 Release Schedul,Final
251,Python 2.2 Release Schedul,Final
283,Python 2.3 Release Schedul,Final
226,Python 2.1 Release Schedul,Final
200,Python 2.0 Release Schedul,Final
160,Python 1.6 Release Schedul,Final
6,Bug Fix Relea,Superseded
5,Guidelines for Language Evoluti,Superseded
3156,Asynchronous IO Support Rebooted: the “asyncio” Modul,Final
3155,Qualified name for classes and functi,Final
3154,Pickle protocol version 4,Final
3151,Reworking the OS and IO exception hierarc,Final
3149,ABI version tagged .so fil,Final
3148,futures - execute computations asynchronousl,Final
3147,PYC Repository Directori,Final
3144,IP Address Manipulation Library for the Python Standard Libra,Final
3138,String representation in Python 3000,Final
3141,A Type Hierarchy for Numb,Final
3137,Immutable Bytes and Mutable Buff,Final
3135,New Su,Final
3132,Extended Iterable Unpacki,Final
3131,Supporting Non-ASCII Identifi,Final
3134,Exception Chaining and Embedded Traceback,Final
3129,Class Decora,Final
3127,Integer Literal Support and Syntax,Final
3123,Making PyObject_HEAD conform to standard C,Final
3121,Extension Module Initialization and Finalizati,Final
3120,Using UTF-8 as the default source encodi,Final
3119,Introducing Abstract Base Cla,Final
3116,New I/O,Final
3118,Revising the buffer protocol,Final
3115,Metaclasses in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3113,Removal of Tuple Parameter Unpacki,Final
3112,Bytes literals in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3107,Function Annotati,Final
3108,Standard Library Reorganizati,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a functi,Final
3104,Access to Names in Outer Sc,Final
3102,Keyword-Only Argum,Final
3101,Advanced String Formatti,Final
721,Using tarfile.data_filter for source distribution extracti,Final
709,Inlined comprehensi,Final
715,Disabling bdist_egg distribution uploads on PyPI,Final
706,Filter for tarfile.extractall,Final
697,Limited C API for Extending Opaque T,Final
689,Unstable C API ti,Final
682,Format Specifier for Signed Z,Final
680,tomllib: Support for Parsing TOML in the Standard Libra,Final
678,Enriching Exceptions with N,Final
670,Convert macros to functions in the Python C API,Final
660,Editable installs for pyproject.toml based builds (wheel based),Final
657,Include Fine Grained Error Locations in Traceback,Final
656,Platform Tag for Linux Distributions Using Musl,Final
654,Exception Groups and except*,Final
652,Maintaining the Stable ABI,Final
644,Require OpenSSL 1.1.1 or new,Final
634,Structural Pattern Matching: Specificati,Final
629,Versioning PyPI’s Simple API,Final
643,Metadata for Package Source Distributi,Final
632,Deprecate distutils modul,Final
627,Recording installed projec,Final
628,Add math.tau,Final
626,Precise line numbers for debugging and other tool,Final
624,Remove Py_UNICODE encoder API,Final
623,Remove wstr from Unicod,Final
621,Storing project metadata in pyproject.toml,Final
618,Add Optional Length-Checking To zi,Final
617,New PEG parser for CP,Final
614,Relaxing Grammar Restrictions On Decora,Final
616,String methods to remove prefixes and suffix,Final
610,Recording the Direct URL Origin of installed distributi,Final
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributi,Final
597,Add optional EncodingWarni,Final
594,Removing dead batteries from the standard libra,Final
592,Adding “Yank” Support to the Simple API,Final
587,Python Initialization Configurati,Final
585,Type Hinting Generics In Standard Collecti,Final
574,Pickle protocol 5 with out-of-band data,Final
584,Add Union Operators To dic,Final
572,Assignment Expressi,Final
573,Module State Access from C Extension Method,Final
567,Context Variabl,Final
570,Python Positional-Only Param,Final
566,Metadata for Python Software Packages 2.1,Final
565,Show DeprecationWarning in __main__,Final
562,Module __getattr__ and __dir__,Final
561,Distributing and Packaging Type Informati,Final
564,Add new time functions with nanosecond resoluti,Final
557,Data Cla,Final
552,Deterministic pyc,Final
553,Built-in breakpoint(),Final
540,Add a new UTF-8 Mod,Final
530,Asynchronous Comprehensi,Final
539,A New C-API for Thread-Local Storage in CP,Final
538,Coercing the legacy C locale to a UTF-8 based local,Final
529,Change Windows filesystem encoding to UTF-8,Final
528,Change Windows console encoding to UTF-8,Final
527,Removing Un(der)used file types/extensions on PyPI,Final
526,Syntax for Variable Annotati,Final
525,Asynchronous Genera,Final
524,Make os.urandom() blocking on Linux,Final
517,A build-system independent format for sourc,Final
520,Preserving Class Attribute Definition Ord,Final
523,Adding a frame evaluation API to CP,Final
519,Adding a file system path protocol,Final
518,Specifying Minimum Build System Requirements for Python Projec,Final
515,Underscores in Numeric Literal,Final
508,Dependency specification for Python Software Packa,Final
503,Simple Repository API,Final
506,Adding A Secrets Module To The Standard Libra,Final
495,Local Time Disambiguati,Final
498,Literal String Interpolati,Final
493,HTTPS verification migration tools for Python 2.7,Final
492,Coroutines with async and await syntax,Final
489,Multi-phase extension module initializati,Final
488,Elimination of PYO fil,Final
486,Make the Python Launcher aware of virtual environm,Final
485,A Function for testing approximate equali,Final
487,Simpler customisation of class creati,Final
484,Type Hi,Final
479,Change StopIteration handling inside genera,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Final
476,Enabling certificate verification by default for stdlib http cli,Final
475,Retry system calls failing with EINTR,Final
471,os.scandir() function,Final
456,Secure and interchangeable hash algorithm,Final
466,Network Security Enhancements for Python 2.7.x,Final
468,Preserving the order of **kwargs in a functi,Final
465,A dedicated infix operator for matrix multiplicati,Final
461,Adding % formatting to bytes and bytearra,Final
454,Add a new tracemalloc module to trace Python memory allocati,Final
448,Additional Unpacking Generalizati,Final
451,A ModuleSpec Type for the Import System,Final
446,Make newly created file descriptors non-inheritabl,Final
450,Adding A Statistics Module To The Standard Libra,Final
445,Add new APIs to customize Python memory alloca,Final
443,Single-dispatch generic functi,Final
442,Safe object finalizati,Final
453,Explicit bootstrapping of pip in Python installati,Final
441,Improving Python ZIP Application Su,Final
436,The Argument Clinic DSL,Final
435,Adding an Enum type to the Python standard libra,Final
428,The pathlib module,Final
440,Version Identification and Dependency Specificati,Final
427,The Wheel Binary Package Format 1.0,Final
424,A method for exposing a length hi,Final
425,Compatibility Tags for Built Distributi,Final
421,Adding sys.implementati,Final
420,Implicit Namespace Packa,Final
418,"Add monotonic time, performance counter, and process time functi",Final
417,Including mock in the Standard Libra,Final
415,Implement context suppression with exception attribu,Final
414,Explicit Unicode Literal for Python 3.3,Final
412,Key-Sharing Dictiona,Final
409,Suppressing exception contex,Final
405,Python Virtual Environm,Final
397,Python launcher for Window,Final
393,Flexible String Representati,Final
391,Dictionary-Based Configuration For Loggi,Final
384,Defining a Stable ABI,Final
389,argparse - New Command Line Parsing Modul,Final
383,Non-decodable Bytes in System Character Interfac,Final
380,Syntax for Delegating to a Subgenera,Final
378,Format Specifier for Thousands Separa,Final
376,Database of Installed Python Distributi,Final
372,Adding an ordered dictionary to collecti,Final
371,Addition of the multiprocessing package to the standard libra,Final
370,Per user site-packages direc,Final
366,Main module explicit relative im,Final
362,Function Signature Objec,Final
358,The “bytes” Objec,Final
357,Allowing Any Object to be Used for Slici,Final
353,Using ssize_t as the index,Final
352,Required Superclass for Excepti,Final
341,Unifying try-except and try-finall,Final
343,The “with” Statem,Final
342,Coroutines via Enhanced Genera,Final
324,subprocess - New process modul,Final
338,Executing modules as scri,Final
331,Locale-Independent Float/String Conversi,Final
328,Imports: Multi-Line and Absolute/Relativ,Final
327,Decimal Data T,Final
322,Reverse Iterati,Final
311,Simplified Global Interpreter Lock Acquisition for Extensi,Final
318,Decorators for Functions and Method,Final
309,Partial Function Applicati,Final
308,Conditional Expressi,Final
307,Extensions to the pickle protocol,Final
305,CSV File API,Final
302,New Import Hook,Final
301,Package Index and Metadata for Distutil,Final
293,Codec Error Handling Callback,Final
292,Simpler String Substituti,Final
289,Generator Expressi,Final
285,Adding a bool,Final
279,The enumerate() built-in functi,Final
282,A Logging System,Final
278,Universal Newline Su,Final
277,Unicode file name support for Windows NT,Final
273,Import Modules from Zip Archiv,Final
274,Dict Comprehensi,Final
264,Future statements in simulated shell,Final
261,Support for “wide” Unicode charac,Final
263,Defining Python Source Code Encodi,Final
